path	symbol	relations	evidence	disposition	final_state
scripts/bulk_match_zenith_contras.sql	<file>	gl.journal_entry|gl.journal_entry_line|gl.posted_ledger_line|gl.posting_batch	raw_sql_dml	operator_tool	tool_archived
scripts/delete_void_bank_recon_jes.py	run	gl.journal_entry|gl.journal_entry_line	raw_sql_dml	operator_tool	tool_repointed
scripts/fix_credit_note_journals.sql	<file>	gl.journal_entry|gl.journal_entry_line|gl.posted_ledger_line|gl.posting_batch	raw_sql_dml	operator_tool	tool_archived
scripts/import_dotmac_tb.py	create_accounts	gl.account	constructor|session_add	operator_tool	tool_repointed
scripts/import_dotmac_tb.py	create_categories	gl.account_category	constructor|session_add	operator_tool	tool_repointed
scripts/import_dotmac_tb.py	create_fiscal_years	gl.fiscal_period|gl.fiscal_year	constructor|session_add	operator_tool	tool_repointed
scripts/import_dotmac_tb.py	create_opening_balance_journal	gl.journal_entry|gl.journal_entry_line	attribute_assignment|constructor|session_add	operator_tool	tool_repointed
scripts/import_tb_audit.py	create_opening_balance_journal	gl.journal_entry|gl.journal_entry_line	attribute_assignment|constructor|session_add	operator_tool	tool_repointed
scripts/import_tb_audit.py	ensure_accounts	gl.account	constructor|session_add	operator_tool	tool_repointed
scripts/import_tb_audit.py	ensure_categories	gl.account_category	constructor|session_add	operator_tool	tool_repointed
scripts/import_tb_audit.py	reopen_period	gl.fiscal_year	attribute_assignment	operator_tool	tool_repointed
scripts/migration/2026-04-28_opening_balance_cleanup_apply.sql	<file>	gl.journal_entry|gl.journal_entry_line|gl.posted_ledger_line|gl.posting_batch	raw_sql_dml	operator_tool	tool_archived
scripts/migration/2026-04-28_tax_opening_cleanup_wave2_apply.sql	<file>	gl.journal_entry|gl.journal_entry_line|gl.posted_ledger_line	raw_sql_dml	operator_tool	tool_archived
scripts/seed_e2e_data.py	ensure_account	gl.account	constructor|session_add	operator_tool	tool_repointed
scripts/seed_e2e_data.py	ensure_categories	gl.account_category	constructor|session_add	operator_tool	tool_repointed
scripts/seed_e2e_data.py	ensure_fiscal_year	gl.fiscal_period	attribute_assignment	operator_tool	tool_repointed
scripts/void_bank_recon_jes.py	execute_void	gl.journal_entry	raw_sql_dml	operator_tool	tool_repointed
