path	symbol	services	disposition	final_state
app/services/finance/banking/reconciliation_engine_parts/handlers.py	ReconciliationEngineHandlers._handle_inter_bank	gl.journal|gl.posting_adapter	repoint_to_module	caller_repointed
app/services/finance/banking/reconciliation_parts/matching.py	ReconciliationMatchingService.create_journal_and_match	gl.journal	repoint_to_module	caller_repointed
app/services/finance/cons/cons_posting_adapter.py	CONSPostingAdapter.post_elimination_entry	gl.journal	repoint_to_module	caller_repointed
app/services/finance/cons/cons_posting_adapter.py	CONSPostingAdapter.post_nci_allocation	gl.journal	repoint_to_module	caller_repointed
app/services/finance/cons/cons_posting_adapter.py	CONSPostingAdapter.post_translation_adjustment	gl.journal	repoint_to_module	caller_repointed
app/services/finance/exp/expense.py	ExpenseService.post	gl.journal|gl.period_guard|gl.posting_adapter	repoint_to_module	caller_repointed
app/services/finance/gl/__init__.py	__getattr__	gl.balances	gl_internal	retired_with_gl_owner
app/services/finance/gl/account_balance.py	AccountBalanceService.get_account_balance_read	gl.coa	gl_internal	retired_with_gl_owner
app/services/finance/gl/bulk.py	AccountBulkService.export_all	gl.coa	gl_internal	retired_with_gl_owner
app/services/finance/gl/bulk.py	JournalBulkService.bulk_approve	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/gl/bulk.py	JournalBulkService.bulk_post	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/gl/bulk.py	JournalBulkService.export_all	gl.journal_query	gl_internal	retired_with_gl_owner
app/services/finance/gl/fx_revaluation.py	FXRevaluationService._build_journal_input	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/gl/fx_revaluation.py	FXRevaluationService._build_reversal_input	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/gl/fx_revaluation.py	FXRevaluationService.post	gl.journal|gl.reversal	gl_internal	retired_with_gl_owner
app/services/finance/gl/gl_posting_adapter.py	GLPostingAdapter.create_and_post_journal	gl.journal	gl_internal	retired_with_gl_owner
