module,doctype,insert_statements
"Other","Job Opening",1
"Other","KRA",1
"Other","Kanban Board",1
"Other","Kanban Board Column",1
"Other","Language",1
"Other","Lead",1
"Other","Lead Source",1
"Other","Letter Head",1
"Other","List Filter",1
"Other","List View Settings",1
"Other","List of Groceries",1
"Other","Location",1
"Other","Logs To Clear",1
"Other","Market Segment",1
"Other","Module Def",1
"Other","Module Onboarding",1
"Other","Module Profile",1
"Other","NOC Task Tracker",1
"Other","Navbar Item",1
"Other","Notification",1
"Other","Notification Recipient",1
"Other","Notification Settings",1
"Other","Notification Subscribed Document",1
"Other","Number Card",1
"Other","Number Card Link",1
"Other","Offer Term",1
"Other","Onboarding Permission",1
"Other","Onboarding Step",1
"Other","Onboarding Step Map",1
"Other","Opportunity Type",1
"Other","Page",1
"Other","Party Account",1
"Other","Party Type",1
"Other","Payment Entry Deduction",1
"Other","Payment Term",1
"Other","Payment Terms Template",1
"Other","Payment Terms Template Detail",1
"Other","Pegged Currency Details",1
"Other","Policy Violations",1
"Other","Portal Menu Item",1
"Other","Price List",1
"Other","Print Format",1
"Other","Print Heading",1
"Other","Print Style",1
"Other","Process Deferred Accounting",1
"Other","Process Subscription",1
"Other","Property Setter",1
"Other","Purchase Taxes and Charges",1
"Other","Purchase Taxes and Charges Template",1
"Other","Report",1
"Other","Report Column",1
"Other","Report Filter",1
"Other","Repost Item Valuation",1
"Other","Role",1
"Other","Role Profile",1
"Other","Sales Partner Type",1
"Other","Sales Person",1
"Other","Sales Stage",1
"Other","Sales Team",1
"Other","Salutation",1
"Other","Scheduled Job Type",1
"Other","Scheduler Event",1
"Other","Series",1
"Other","Server Script",1
"Other","Service Instance",1
"Other","Session Default",1
"Other","Sessions",1
"Other","Share Type",1
"Other","Shift Assignment",1
"Other","Shift Assignment Schedule",1
"Other","Shift Location",1
"Other","Shift Schedule",1
"Other","Shift Schedule Assignment",1
"Other","Singles",1
"Other","Skill",1
"Other","Staffing Plan",1
"Other","Staffing Plan Detail",1
"Other","Subscription Plan",1
"Other","Success Action",1
"Other","Sys Admin Task Tracker",1
"Other","Tag",1
"Other","Tag Link",1
"Other","Tax Category",1
"Other","Tax Rule",1
"Other","Tax Withholding Account",1
"Other","Tax Withholding Category",1
"Other","Tax Withholding Rate",1
"Other","Territory",1
"Other","Training Attendance Tracker",1
"Other","User",1
"Other","User Document Type",1
"Other","User Email",1
"Other","User Group",1
"Other","User Group Member",1
"Other","User Permission",1
"Other","User Select Document Type",1
"Other","User Social Login",1
"Other","User Type",1
"Other","User Type Module",1
"Other","Variant Field",1
"Other","Vehicle",1
"Other","Vehicle Service Item",1
"Other","Web Form",1
"Other","Web Form Field",1
"Other","Web Form List Column",1
"Other","Web Page",1
"Other","Web Template",1
"Other","Web Template Field",1
"Other","WebDev Task Tracker",1
"Other","Webhook",1
"Other","Webhook Data",1
"Other","Webhook Header",1
"Other","Website Route Redirect",1
"Other","Website Theme",1
"Other","Workflow",1
"Other","Workflow Action",1
"Other","Workflow Action Master",1
"Other","Workflow Action Permitted Role",1
"Other","Workflow Document State",1
"Other","Workflow State",1
"Other","Workflow Transition",1
"Other","Workspace",1
"Other","Workspace Chart",1
"Other","Workspace Custom Block",1
"Other","Workspace Link",1
"Other","Workspace Number Card",1
"Other","Workspace Quick List",1
"Other","Workspace Shortcut",1
"Other","project record",1
"Projects","Project Record",1
"Projects","Project Template",1
"Projects","Project Template Task",1
"Projects","Project Type",1
"Projects","Project User",1
"Projects","Task Depends On",1
"Projects","Task Management",1
"Projects","Task Type",1
"Support","HD Ticket Activity",10
"Support","HD Ticket Comment",1
"Support","HD Ticket Priority",1
"Support","HD Ticket Status",1
"Support","HD Ticket Type",1
"Support","Issue Priority",1
"Support","Issue Type",1
"System/Logs","Version",1200
"System/Logs","Notification Log",225
"System/Logs","Scheduled Job Log",196
"System/Logs","Access Log",106
"System/Logs","Email Queue",104
"System/Logs","Error Log",98
"System/Logs","Data Import Log",22
"System/Logs","Route History",22
"System/Logs","Webhook Request Log",22
"System/Logs","ToDo",14
"System/Logs","PWA Notification",8
"System/Logs","View Log",8
"System/Logs","Email Queue Recipient",3
"System/Logs","Activity Log",2
"System/Logs","Changelog Feed",1
"System/Logs","Console Log",1
"System/Logs","Data Import",1
"System/Logs","DefaultValue",1
"System/Logs","Patch Log",1
"System/Logs","Prepared Report",1
