source_sheet,source_row,asset_number,asset_name,description,category_name,location_name,department,serial_number,model,manufacturer,quantity,condition_note,migration_date,acquisition_date,in_service_date,acquisition_cost,accumulated_depreciation,net_book_value,depreciation_method,useful_life_months,remaining_life_months,residual_value,currency_code,status,assumption_flag,assumption_note
SUMMARY REPORT SHEET,19,Dotmac/OE/Dt018,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,N.O.C Office.,8CC2251GST,HP 24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,20,Dotmac/OE/Dt019,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,N.O.C Office.,8CC20814TK,HP 24-DF1103NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,21,Dotmac/OE/Dt020,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,N.O.C Office.,8CC2251GTS,HP  24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,23,Dotmac/OE/Dt021,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,N.O.C Office.,8CC841051K,HP  24-XA0057C,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,24,Dotmac/OE/Dt022,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,N.O.C Office.,8CC84415QT,HP  24-XA0057C,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,25,Dotmac/OE/Lt001,Laptop,Laptop,ICT Equipment,Head Office.,N.O.C Office.,5CC1131CXX,HP 24-cf220na,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,26,Dotmac/OE/Dt023,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Engineering Office.,8CC9491M8K,HP 20-c412nh,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,27,Dotmac/OE/Dt024,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Engineering Office.,YJ01AS99,LENOVO130-201GM,LENOVO,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,28,Dotmac/OE/Dt025,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Engineering Office.,YJ00QRD9,LENOVO  V130-201GM,LENOVO,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,29,Dotmac/OE/Dt026,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Engineering Office.,8CC2251GVB,HP 24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
