asset_number,asset_name,source_sheet,source_row,missing_fields
Dotmac/OE/Dt037,All in One Desktop,SUMMARY REPORT SHEET,40,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt038,All in One Desktop,SUMMARY REPORT SHEET,41,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt039,All in One Desktop,SUMMARY REPORT SHEET,42,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt040,All in One Desktop,SUMMARY REPORT SHEET,43,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt041,All in One Desktop,SUMMARY REPORT SHEET,44,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt042,All in One Desktop,SUMMARY REPORT SHEET,45,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt043,All in One Desktop,SUMMARY REPORT SHEET,46,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt044,All in One Desktop,SUMMARY REPORT SHEET,47,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt045,All in One Desktop,SUMMARY REPORT SHEET,48,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt046,All in One Desktop,SUMMARY REPORT SHEET,49,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt047,All in One Desktop,SUMMARY REPORT SHEET,50,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt048,All in One Desktop,SUMMARY REPORT SHEET,51,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt049,All in One Desktop,SUMMARY REPORT SHEET,52,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt050,All in One Desktop,SUMMARY REPORT SHEET,53,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt051,All in One Desktop,SUMMARY REPORT SHEET,54,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt052,All in One Desktop,SUMMARY REPORT SHEET,55,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt053,All in One Desktop,SUMMARY REPORT SHEET,56,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt054,All in One Desktop,SUMMARY REPORT SHEET,57,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt055,All in One Desktop,SUMMARY REPORT SHEET,58,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt056,All in One Desktop,SUMMARY REPORT SHEET,59,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt057,All in One Desktop,SUMMARY REPORT SHEET,60,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt058,All in One Desktop,SUMMARY REPORT SHEET,61,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt059,All in One Desktop,SUMMARY REPORT SHEET,62,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0001,Desktop (CPU),SUMMARY REPORT SHEET,63,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0002,Monitor,SUMMARY REPORT SHEET,64,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt060,All in One Desktop,SUMMARY REPORT SHEET,65,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt061,All in one Desktop,SUMMARY REPORT SHEET,66,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt062,All in one Desktop,SUMMARY REPORT SHEET,67,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt063,All in one Desktop,SUMMARY REPORT SHEET,68,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt064,All in one Desktop,SUMMARY REPORT SHEET,69,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb001,keyboard,SUMMARY REPORT SHEET,70,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb002,keyboard,SUMMARY REPORT SHEET,71,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb003,keyboard,SUMMARY REPORT SHEET,72,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb004,keyboard,SUMMARY REPORT SHEET,73,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb005,keyboard,SUMMARY REPORT SHEET,74,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb006,keyboard,SUMMARY REPORT SHEET,75,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb007,keyboard,SUMMARY REPORT SHEET,76,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb008,keyboard,SUMMARY REPORT SHEET,77,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb009,keyboard,SUMMARY REPORT SHEET,78,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb010,keyboard,SUMMARY REPORT SHEET,79,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb011,keyboard,SUMMARY REPORT SHEET,80,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb012,keyboard,SUMMARY REPORT SHEET,81,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb013,keyboard,SUMMARY REPORT SHEET,82,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb014,keyboard,SUMMARY REPORT SHEET,83,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb015,keyboard,SUMMARY REPORT SHEET,84,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb016,keyboard,SUMMARY REPORT SHEET,85,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb017,keyboard,SUMMARY REPORT SHEET,86,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb018,keyboard,SUMMARY REPORT SHEET,87,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb019,keyboard,SUMMARY REPORT SHEET,88,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb020,keyboard,SUMMARY REPORT SHEET,89,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb021,keyboard,SUMMARY REPORT SHEET,90,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb022,keyboard,SUMMARY REPORT SHEET,91,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb023,keyboard,SUMMARY REPORT SHEET,92,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb024,keyboard,SUMMARY REPORT SHEET,93,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb025,keyboard,SUMMARY REPORT SHEET,94,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb026,keyboard,SUMMARY REPORT SHEET,95,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb027,keyboard,SUMMARY REPORT SHEET,96,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb028,keyboard,SUMMARY REPORT SHEET,97,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb029,keyboard,SUMMARY REPORT SHEET,98,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb030,keyboard,SUMMARY REPORT SHEET,99,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb031,keyboard,SUMMARY REPORT SHEET,100,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb032,keyboard,SUMMARY REPORT SHEET,101,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb034,keyboard,SUMMARY REPORT SHEET,102,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb035,keyboard,SUMMARY REPORT SHEET,104,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb036,keyboard,SUMMARY REPORT SHEET,105,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb037,keyboard,SUMMARY REPORT SHEET,106,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb038,keyboard,SUMMARY REPORT SHEET,107,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb039,keyboard,SUMMARY REPORT SHEET,108,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb040,keyboard,SUMMARY REPORT SHEET,109,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb041,keyboard,SUMMARY REPORT SHEET,110,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb042,keyboard,SUMMARY REPORT SHEET,111,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb043,keyboard,SUMMARY REPORT SHEET,112,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb044,keyboard,SUMMARY REPORT SHEET,113,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb045,keyboard,SUMMARY REPORT SHEET,114,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
