asset_number,asset_name,source_sheet,source_row,missing_fields
Dotmac/OE/Ms030,Mouse,SUMMARY REPORT SHEET,164,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms031,Mouse,SUMMARY REPORT SHEET,165,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms032,Mouse,SUMMARY REPORT SHEET,166,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms033,Mouse,SUMMARY REPORT SHEET,167,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms034,Mouse,SUMMARY REPORT SHEET,168,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms035,Mouse,SUMMARY REPORT SHEET,169,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms036,Mouse,SUMMARY REPORT SHEET,170,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms037,Mouse,SUMMARY REPORT SHEET,171,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms038,Mouse,SUMMARY REPORT SHEET,172,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms039,Mouse,SUMMARY REPORT SHEET,173,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms040,Mouse,SUMMARY REPORT SHEET,174,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms041,Mouse,SUMMARY REPORT SHEET,175,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms042,Mouse,SUMMARY REPORT SHEET,176,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms043,Mouse,SUMMARY REPORT SHEET,177,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms044,Mouse,SUMMARY REPORT SHEET,178,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms045,Mouse,SUMMARY REPORT SHEET,179,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms046,Mouse,SUMMARY REPORT SHEET,180,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms047,Mouse,SUMMARY REPORT SHEET,181,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms048,Mouse,SUMMARY REPORT SHEET,182,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms049,Mouse,SUMMARY REPORT SHEET,183,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms050,Mouse,SUMMARY REPORT SHEET,184,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms051,Mouse,SUMMARY REPORT SHEET,185,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms052,Mouse,SUMMARY REPORT SHEET,186,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms053,Mouse,SUMMARY REPORT SHEET,187,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms054,Mouse,SUMMARY REPORT SHEET,188,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0003,Mouse,SUMMARY REPORT SHEET,189,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0004,Luminous Inverter,SUMMARY REPORT SHEET,191,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0005,Luminous Inverter,SUMMARY REPORT SHEET,192,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0006,Gpower Inverter,SUMMARY REPORT SHEET,193,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0007,Charge Contoller,SUMMARY REPORT SHEET,194,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0008,Charge Contoller,SUMMARY REPORT SHEET,195,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0009,Charge Contoller,SUMMARY REPORT SHEET,196,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0010,Charge Contoller,SUMMARY REPORT SHEET,197,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0011,Charge Contoller,SUMMARY REPORT SHEET,198,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0012,Inverter Battery,SUMMARY REPORT SHEET,199,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0013,Solar Panels,SUMMARY REPORT SHEET,247,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0014,Inverter,SUMMARY REPORT SHEET,248,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0015,Charge Controller,SUMMARY REPORT SHEET,249,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0016,Inverter Battery,SUMMARY REPORT SHEET,250,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0017,Solar Panels,SUMMARY REPORT SHEET,256,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0018,Inverter,SUMMARY REPORT SHEET,257,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0019,Charge Controller,SUMMARY REPORT SHEET,258,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0020,Inverter Battery,SUMMARY REPORT SHEET,259,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0021,Solar Panels,SUMMARY REPORT SHEET,267,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0022,Inverter,SUMMARY REPORT SHEET,268,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0023,Charge Controller,SUMMARY REPORT SHEET,269,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0024,Inverter Battery,SUMMARY REPORT SHEET,270,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0025,Solar Panels,SUMMARY REPORT SHEET,274,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0026,Inverter,SUMMARY REPORT SHEET,275,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0027,Charge Controller,SUMMARY REPORT SHEET,276,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0028,Inverter Battery,SUMMARY REPORT SHEET,277,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0029,Solar Panels,SUMMARY REPORT SHEET,281,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0030,Inverter,SUMMARY REPORT SHEET,282,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0031,Charge Controller,SUMMARY REPORT SHEET,283,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0032,Inverter Battery,SUMMARY REPORT SHEET,284,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0033,Solar Panels,SUMMARY REPORT SHEET,288,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0034,Inverter,SUMMARY REPORT SHEET,289,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0035,Charge Controller,SUMMARY REPORT SHEET,290,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0036,Inverter Battery,SUMMARY REPORT SHEET,291,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0037,Solar Panels,SUMMARY REPORT SHEET,295,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0038,Inverter,SUMMARY REPORT SHEET,296,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0039,Charge Controller,SUMMARY REPORT SHEET,297,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0040,Inverter Battery,SUMMARY REPORT SHEET,298,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0041,Solar Panels,SUMMARY REPORT SHEET,302,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0042,Inverter,SUMMARY REPORT SHEET,303,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0043,Inverter Battery,SUMMARY REPORT SHEET,304,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0044,Inverter,SUMMARY REPORT SHEET,308,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0045,Inverter Battery,SUMMARY REPORT SHEET,309,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0046,Inverter,SUMMARY REPORT SHEET,313,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0047,Inverter Battery,SUMMARY REPORT SHEET,314,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0048,Solar Panels,SUMMARY REPORT SHEET,318,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0049,Garki Core Router.,SUMMARY REPORT SHEET,319,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0050,Fastnet Router,SUMMARY REPORT SHEET,320,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0051,Garki Access Router,SUMMARY REPORT SHEET,321,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0052,Agg. Switch.,SUMMARY REPORT SHEET,322,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0053,Cloud Core Router,SUMMARY REPORT SHEET,323,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0054,GPON 1,SUMMARY REPORT SHEET,324,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0055,GPON 2,SUMMARY REPORT SHEET,325,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0056,GPON 3,SUMMARY REPORT SHEET,326,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0057,GARKI OLT DEVICE,SUMMARY REPORT SHEET,327,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0058,Patch panel 1,SUMMARY REPORT SHEET,328,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0059,Patch panel 2,SUMMARY REPORT SHEET,329,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0060,Patch panel 3,SUMMARY REPORT SHEET,330,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0061,Patch panel 4,SUMMARY REPORT SHEET,331,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0062,Patch panel 5,SUMMARY REPORT SHEET,332,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0063,Server 1,SUMMARY REPORT SHEET,333,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0064,Server 2,SUMMARY REPORT SHEET,334,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0065,UTM mACRO 250,SUMMARY REPORT SHEET,335,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0066,Monitor.,SUMMARY REPORT SHEET,336,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0067,Network Router,SUMMARY REPORT SHEET,337,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0068,Network Router,SUMMARY REPORT SHEET,338,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0069,Network Router,SUMMARY REPORT SHEET,339,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0070,Cloud Core Switch,SUMMARY REPORT SHEET,340,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0071,OLT Device,SUMMARY REPORT SHEET,341,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0072,Fibre Patch Panel,SUMMARY REPORT SHEET,342,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0073,GPON,SUMMARY REPORT SHEET,346,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0074,Cloud Core Router,SUMMARY REPORT SHEET,350,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0075,Cloud Core Switch,SUMMARY REPORT SHEET,351,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0076,OLT Device,SUMMARY REPORT SHEET,352,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0077,Fibre Patch Panel,SUMMARY REPORT SHEET,353,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0078,GPON,SUMMARY REPORT SHEET,356,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0079,Cloud Core Router,SUMMARY REPORT SHEET,360,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0080,Cloud Core Switch,SUMMARY REPORT SHEET,361,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0081,Fibre patch Panel,SUMMARY REPORT SHEET,362,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0082,Cloud Core Router,SUMMARY REPORT SHEET,363,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0083,Cloud Core Switch,SUMMARY REPORT SHEET,364,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0084,Fibre Patch Panel,SUMMARY REPORT SHEET,365,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0085,OLT Device,SUMMARY REPORT SHEET,367,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0086,Cloud Core Router,SUMMARY REPORT SHEET,368,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0087,Cloud Core Switch,SUMMARY REPORT SHEET,369,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0088,Cloud Core Switch,SUMMARY REPORT SHEET,370,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0089,Cloud Core Router,SUMMARY REPORT SHEET,371,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0090,Fibre Patch Panel,SUMMARY REPORT SHEET,372,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0091,Cloud Core Switch,SUMMARY REPORT SHEET,373,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0092,Cloud Core Router,SUMMARY REPORT SHEET,374,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0093,Fibre Patch Panel,SUMMARY REPORT SHEET,375,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0094,Cloud Core Switch,SUMMARY REPORT SHEET,376,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0095,Cloud Router Switch,SUMMARY REPORT SHEET,377,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0096,9U Rack,SUMMARY REPORT SHEET,378,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0097,Multi-Power Tubula Battery,SUMMARY REPORT SHEET,379,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0098,Intex Inverter,SUMMARY REPORT SHEET,383,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0099,4Way Battery Rack,SUMMARY REPORT SHEET,384,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0100,Standing Fan,SUMMARY REPORT SHEET,385,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0101,Petrol Generator,SUMMARY REPORT SHEET,386,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0102,Extension box,SUMMARY REPORT SHEET,387,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0103,EagleSwitch24 250w,SUMMARY REPORT SHEET,388,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0104,Cloud Core Router,SUMMARY REPORT SHEET,389,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0105,Green Capital Tubular Battery,SUMMARY REPORT SHEET,390,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0106,Index Inverter,SUMMARY REPORT SHEET,394,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0107,4Way Battery Rack,SUMMARY REPORT SHEET,395,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0108,Extension box,SUMMARY REPORT SHEET,396,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0109,Tp-link 3poll Router,SUMMARY REPORT SHEET,397,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0110,Cloud Core Router,SUMMARY REPORT SHEET,398,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0111,Cloud Router Switch,SUMMARY REPORT SHEET,399,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0112,4 Gen2 Ap active,SUMMARY REPORT SHEET,400,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0113,2 Air fiber,SUMMARY REPORT SHEET,401,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0114,Rugged M5 Antenna non active,SUMMARY REPORT SHEET,402,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0115,4lite Ap,SUMMARY REPORT SHEET,403,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0116,Aviation light,SUMMARY REPORT SHEET,404,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0117,Mast,SUMMARY REPORT SHEET,405,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0118,3 Gurd Wire,SUMMARY REPORT SHEET,406,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0119,Fiber Patch Panel,SUMMARY REPORT SHEET,407,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0120,POE Adapter,SUMMARY REPORT SHEET,408,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0121,Solar Panel,SUMMARY REPORT SHEET,409,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0122,Growatt Inverter,SUMMARY REPORT SHEET,417,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0123,Petrol Generator,SUMMARY REPORT SHEET,418,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0124,Green Capital Tubular Battery,SUMMARY REPORT SHEET,419,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0125,Standing Fan,SUMMARY REPORT SHEET,423,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0126,Full Length of installation pipe,SUMMARY REPORT SHEET,425,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0127,Half Length of Installation pipe,SUMMARY REPORT SHEET,426,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0128,Air Conditioner,SUMMARY REPORT SHEET,427,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0129,Chairs,SUMMARY REPORT SHEET,428,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0130,Tables,SUMMARY REPORT SHEET,429,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0131,Computer System,SUMMARY REPORT SHEET,430,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0132,Key Board,SUMMARY REPORT SHEET,431,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0133,Mouse,SUMMARY REPORT SHEET,432,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0134,Extension box,SUMMARY REPORT SHEET,433,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0135,Drilling Machine,SUMMARY REPORT SHEET,434,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0136,PDU Extension,SUMMARY REPORT SHEET,435,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0137,Murping Bucket,SUMMARY REPORT SHEET,436,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0138,Bathing Bucket,SUMMARY REPORT SHEET,437,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0139,Air fiber,SUMMARY REPORT SHEET,438,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0140,Lite AP,SUMMARY REPORT SHEET,439,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0141,Gen2 AP,SUMMARY REPORT SHEET,440,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
OPEN-FA-2024-0142,Surge protector,SUMMARY REPORT SHEET,441,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
