import time: self [us] | cumulative | imported package
import time:       159 |        159 |               email.encoders
import time:       270 |       1907 |             email.charset
import time:      1161 |       5587 |           email.utils
import time:       898 |        898 |             email.header
import time:       352 |       1249 |           email._policybase
import time:       317 |        317 |           email._encoded_words
import time:       170 |        170 |           email.iterators
import time:       704 |       8584 |         email.message
import time:       431 |        431 |               _json
import time:       322 |        752 |             json.scanner
import time:       435 |       1187 |           json.decoder
import time:       425 |        425 |           json.encoder
import time:       334 |       1945 |         json
import time:       180 |        180 |             fastapi.openapi
import time:       301 |        301 |                     pydantic.version
import time:       427 |        728 |                   pydantic._migration
import time:      2520 |       2520 |                     typing_extensions
import time:       373 |       2893 |                   pydantic.errors
import time:       385 |       4005 |                 pydantic
import time:      1548 |       1548 |                   pydantic_core._pydantic_core
import time:       492 |        492 |                         numbers
import time:       899 |       1390 |                       _decimal
import time:       190 |       1579 |                     decimal
import time:     11692 |      13270 |                   pydantic_core.core_schema
import time:       822 |      15639 |                 pydantic_core
import time:       299 |        299 |                 pydantic._internal
import time:       133 |        133 |                     pydantic._internal._internal_dataclass
import time:      1534 |       1667 |                   pydantic.aliases
import time:      1012 |       1012 |                   pydantic.config
import time:       223 |        223 |                   pydantic.warnings
import time:       460 |       3360 |                 pydantic._internal._config
import time:       434 |        434 |                       pydantic._internal._typing_extra
import time:       244 |        677 |                     pydantic._internal._repr
import time:       605 |       1281 |                   pydantic._internal._core_utils
import time:      4427 |       5708 |                 pydantic._internal._decorators
import time:       181 |        181 |                   pydantic._internal._docs_extraction
import time:       379 |        560 |                 pydantic._internal._fields
import time:       767 |        767 |                 pydantic._internal._forward_ref
import time:       950 |        950 |                   pydantic._internal._utils
import time:       592 |       1542 |                 pydantic._internal._generics
import time:       257 |        257 |                 pydantic._internal._mock_val_ser
import time:       722 |        722 |                     pydantic.plugin
import time:       404 |       1126 |                   pydantic.plugin._schema_validator
import time:       175 |        175 |                     pydantic.annotated_handlers
import time:       281 |        281 |                       pydantic._internal._core_metadata
import time:       198 |        198 |                       pydantic._internal._schema_generation_shared
import time:      3183 |       3661 |                     pydantic.json_schema
import time:       279 |        279 |                     pydantic._internal._discriminated_union
import time:       406 |        406 |                     pydantic._internal._known_annotated_metadata
import time:      1529 |       6048 |                   pydantic._internal._generate_schema
import time:       207 |        207 |                   pydantic._internal._signature
import time:       198 |        198 |                   pydantic._internal._validate_call
import time:       480 |       8057 |                 pydantic._internal._model_construction
import time:       914 |        914 |                   http
import time:       189 |       1103 |                 starlette.exceptions
import time:     11991 |      11991 |                   annotated_types
import time:       414 |        414 |                   pydantic._internal._validators
import time:        99 |         99 |                         _wmi
import time:       930 |       1029 |                       platform
import time:        82 |         82 |                       _uuid
import time:       868 |       1978 |                     uuid
import time:      8605 |      10583 |                   pydantic.types
import time:      4614 |      27600 |                 pydantic.fields
import time:        89 |         89 |                       _csv
import time:       455 |        544 |                     csv
import time:       122 |        122 |                         zlib
import time:       212 |        212 |                           _compression
import time:       448 |        448 |                           _bz2
import time:       417 |       1075 |                         bz2
import time:       408 |        408 |                           _lzma
import time:       248 |        655 |                         lzma
import time:       783 |       2634 |                       shutil
import time:       172 |        172 |                         zipfile._path.glob
import time:       557 |        729 |                       zipfile._path
import time:       963 |       4325 |                     zipfile
import time:       102 |        102 |                         importlib.metadata._functools
import time:       149 |        250 |                       importlib.metadata._text
import time:       275 |        525 |                     importlib.metadata._adapters
import time:       498 |        498 |                     importlib.metadata._meta
import time:       374 |        374 |                     importlib.metadata._collections
import time:       126 |        126 |                     importlib.metadata._itertools
import time:       613 |        613 |                           tempfile
import time:       428 |        428 |                           importlib.resources.abc
import time:       306 |        306 |                           importlib.resources._adapters
import time:       554 |       1899 |                         importlib.resources._common
import time:       278 |        278 |                         importlib.resources._legacy
import time:       174 |       2349 |                       importlib.resources
import time:       480 |       2829 |                     importlib.abc
import time:      1505 |      10721 |                   importlib.metadata
import time:       347 |      11068 |                 pydantic.plugin._loader
import time:     54329 |     134288 |               fastapi.exceptions
import time:       787 |        787 |               fastapi.types
import time:      2184 |       2184 |                 shlex
import time:       226 |        226 |                         anyio._core
import time:       525 |        751 |                       anyio._core._contextmanagers
import time:       303 |        303 |                         anyio._core._exceptions
import time:       137 |        137 |                           sniffio._version
import time:       142 |        142 |                           sniffio._impl
import time:       206 |        484 |                         sniffio
import time:       289 |       1075 |                       anyio._core._eventloop
import time:       528 |        528 |                             anyio.abc._eventloop
import time:       141 |        141 |                             anyio.abc._resources
import time:       156 |        156 |                               anyio._core._typedattr
import time:      2419 |       2419 |                                 anyio.abc._tasks
import time:       990 |       3408 |                               anyio.abc._streams
import time:       714 |       4277 |                             anyio.abc._sockets
import time:       256 |        256 |                             anyio.abc._subprocesses
import time:       156 |        156 |                             anyio.abc._testing
import time:      1863 |       1863 |                               anyio.lowlevel
import time:       394 |        394 |                               anyio._core._tasks
import time:       166 |        166 |                               anyio._core._testing
import time:      6484 |       8905 |                             anyio._core._synchronization
import time:      1272 |       1272 |                             anyio.from_thread
import time:       386 |      15917 |                           anyio.abc
import time:       134 |      16050 |                         anyio.to_thread
import time:      1227 |      17277 |                       anyio._core._fileio
import time:       259 |        259 |                       anyio._core._resources
import time:       137 |        137 |                       anyio._core._signals
import time:       125 |        125 |                           anyio.streams
import time:      1202 |       1327 |                         anyio.streams.stapled
import time:      2540 |       2540 |                         anyio.streams.tls
import time:      1306 |       5172 |                       anyio._core._sockets
import time:      2255 |       2255 |                         anyio.streams.memory
import time:       380 |       2635 |                       anyio._core._streams
import time:       338 |        338 |                       anyio._core._subprocesses
import time:       644 |        644 |                       anyio._core._tempfile
import time:       652 |      28935 |                     anyio
import time:        25 |      28959 |                   anyio.to_thread
import time:       340 |      29299 |                 starlette.concurrency
import time:       795 |        795 |                 starlette.types
import time:      1842 |      34118 |               starlette.datastructures
import time:      2563 |     171755 |             fastapi._compat
import time:       227 |        227 |             fastapi.logger
import time:       229 |        229 |               email_validator.exceptions
import time:       313 |        313 |               email_validator.types
import time:        94 |         94 |                 unicodedata
import time:     26686 |      26686 |                   email_validator.rfc_constants
import time:       885 |        885 |                       idna.idnadata
import time:       225 |        225 |                       idna.intranges
import time:      1038 |       2147 |                     idna.core
import time:       119 |        119 |                     idna.package_data
import time:       438 |       2703 |                   idna
import time:       525 |      29913 |                 email_validator.syntax
import time:       276 |      30282 |               email_validator.validate_email
import time:       113 |        113 |               email_validator.version
import time:       412 |      31346 |             email_validator
import time:      2604 |       2604 |             pydantic._internal._std_types_schema
import time:       835 |        835 |               email.feedparser
import time:       332 |       1167 |             email.parser
import time:    535588 |     742862 |           fastapi.openapi.models
import time:      1765 |     744626 |         fastapi.params
import time:       855 |        855 |         fastapi.datastructures
import time:       173 |        173 |           fastapi.dependencies
import time:       152 |        152 |                 fastapi.security.base
import time:      3054 |       3054 |                   http.cookies
import time:      1124 |       1124 |                   starlette._utils
import time:       316 |        316 |                             python_multipart.exceptions
import time:       271 |        587 |                           python_multipart.decoders
import time:      1452 |       2039 |                         python_multipart.multipart
import time:       250 |       2288 |                       python_multipart
import time:       467 |       2755 |                     multipart
import time:       328 |        328 |                     multipart.multipart
import time:      1814 |       4896 |                   starlette.formparsers
import time:      1239 |      10312 |                 starlette.requests
import time:       549 |      11012 |               fastapi.security.api_key
import time:       188 |        188 |                 fastapi.security.utils
import time:      2974 |       3161 |               fastapi.security.http
import time:      2386 |       2386 |                 fastapi.param_functions
import time:      1580 |       3966 |               fastapi.security.oauth2
import time:       396 |        396 |               fastapi.security.open_id_connect_url
import time:       285 |      18819 |             fastapi.security
import time:        53 |      18871 |           fastapi.security.base
import time:       618 |      19661 |         fastapi.dependencies.models
import time:       224 |        224 |             starlette.background
import time:       331 |        554 |           fastapi.background
import time:       215 |        215 |           fastapi.concurrency
import time:       597 |        597 |           fastapi.utils
import time:       108 |        108 |               _winapi
import time:        83 |         83 |               winreg
import time:       498 |        688 |             mimetypes
import time:      1510 |       1510 |                 _hashlib
import time:        93 |         93 |                 _blake2
import time:       347 |       1950 |               hashlib
import time:       155 |       2104 |             starlette._compat
import time:       899 |       3690 |           starlette.responses
import time:       656 |        656 |           starlette.websockets
import time:      1328 |       7038 |         fastapi.dependencies.utils
import time:       223 |        223 |             colorsys
import time:      1250 |       1473 |           pydantic.color
import time:       831 |       2303 |         fastapi.encoders
import time:       284 |        284 |           starlette._exception_handler
import time:       562 |        562 |           starlette.convertors
import time:       333 |        333 |           starlette.middleware
import time:      3340 |       4517 |         starlette.routing
import time:      3719 |     793244 |       fastapi.routing
import time:       144 |        144 |         fastapi.websockets
import time:       322 |        466 |       fastapi.exception_handlers
import time:       476 |        476 |       fastapi.openapi.docs
import time:     33114 |      33114 |         http.client
import time:       285 |        285 |         fastapi.openapi.constants
import time:      2243 |       2243 |           ujson
import time:       481 |        481 |             orjson.orjson
import time:       403 |        883 |           orjson
import time:       251 |       3376 |         fastapi.responses
import time:      1015 |      37788 |       fastapi.openapi.utils
import time:       632 |        632 |         starlette.middleware.base
import time:      1819 |       1819 |             html.entities
import time:       901 |       2719 |           html
import time:       333 |       3051 |         starlette.middleware.errors
import time:       312 |        312 |         starlette.middleware.exceptions
import time:       511 |       4505 |       starlette.applications
import time:      3270 |     839745 |     fastapi.applications
import time:       294 |        294 |     fastapi.requests
import time:       378 |     840846 |   fastapi
import time:       591 |        591 |     starlette.staticfiles
import time:       176 |        767 |   fastapi.staticfiles
import time:       865 |        865 |       gzip
import time:      1357 |       1357 |         socketserver
import time:       970 |       2326 |       http.server
import time:       395 |        395 |         urllib.response
import time:       312 |        706 |       urllib.error
import time:      2325 |       2325 |       urllib.request
import time:       225 |        225 |         wsgiref
import time:       224 |        224 |           wsgiref.util
import time:       221 |        221 |           wsgiref.headers
import time:       577 |       1022 |         wsgiref.handlers
import time:       804 |       2050 |       wsgiref.simple_server
import time:       173 |        173 |       prometheus_client.openmetrics
import time:       141 |        141 |         prometheus_client.utils
import time:       286 |        426 |       prometheus_client.openmetrics.exposition
import time:      1063 |       1063 |           prometheus_client.samples
import time:      1059 |       2122 |         prometheus_client.metrics_core
import time:       419 |       2541 |       prometheus_client.registry
import time:       285 |        285 |       prometheus_client.asgi
import time:      1348 |      13042 |     prometheus_client.exposition
import time:       131 |        131 |       gc
import time:       331 |        461 |     prometheus_client.gc_collector
import time:       414 |        414 |           mmap
import time:       323 |        736 |         prometheus_client.mmap_dict
import time:       455 |       1191 |       prometheus_client.values
import time:       301 |        301 |         timeit
import time:      1069 |       1069 |         prometheus_client.decorator
import time:       528 |       1897 |       prometheus_client.context_managers
import time:      1081 |       4168 |     prometheus_client.metrics
import time:       324 |        324 |     prometheus_client.platform_collector
import time:       401 |        401 |       resource
import time:       776 |       1177 |     prometheus_client.process_collector
import time:       465 |      19634 |   prometheus_client
import time:       327 |        327 |       sqlalchemy.util.preloaded
import time:       159 |        159 |           sqlalchemy.cyextension
import time:       133 |        133 |             backports_abc
import time:      1750 |       1882 |           sqlalchemy.cyextension.collections
import time:       385 |        385 |           sqlalchemy.cyextension.immutabledict
import time:       347 |        347 |           sqlalchemy.cyextension.processors
import time:       301 |        301 |           sqlalchemy.cyextension.resultproxy
import time:       879 |        879 |               sqlalchemy.util.compat
import time:      1726 |       2605 |             sqlalchemy.exc
import time:       412 |       3016 |           sqlalchemy.cyextension.util
import time:       344 |       6430 |         sqlalchemy.util._has_cy
import time:      1319 |       1319 |         sqlalchemy.util.typing
import time:      1463 |       9211 |       sqlalchemy.util._collections
import time:       865 |        865 |           greenlet._greenlet
import time:       294 |       1158 |         greenlet
import time:      2822 |       2822 |           sqlalchemy.util.langhelpers
import time:       424 |       3245 |         sqlalchemy.util._concurrency_py3k
import time:       383 |       4786 |       sqlalchemy.util.concurrency
import time:       486 |        486 |       sqlalchemy.util.deprecations
import time:       699 |      15507 |     sqlalchemy.util
import time:       882 |        882 |                       sqlalchemy.event.registry
import time:       313 |       1195 |                     sqlalchemy.event.legacy
import time:      1299 |       2493 |                   sqlalchemy.event.attr
import time:       834 |       3327 |                 sqlalchemy.event.base
import time:       326 |       3652 |               sqlalchemy.event.api
import time:       381 |       4033 |             sqlalchemy.event
import time:       739 |        739 |                   sqlalchemy.log
import time:      3350 |       4088 |                 sqlalchemy.pool.base
import time:      1558 |       5646 |               sqlalchemy.pool.events
import time:       835 |        835 |                 sqlalchemy.util.queue
import time:       895 |       1729 |               sqlalchemy.pool.impl
import time:       480 |       7854 |             sqlalchemy.pool
import time:      1331 |       1331 |                   sqlalchemy.sql.roles
import time:       608 |        608 |                   sqlalchemy.inspection
import time:      3189 |       5127 |                 sqlalchemy.sql._typing
import time:      1894 |       1894 |                   sqlalchemy.sql.visitors
import time:      1654 |       1654 |                   sqlalchemy.sql.cache_key
import time:      1411 |       1411 |                     sqlalchemy.sql.operators
import time:       922 |       2333 |                   sqlalchemy.sql.traversals
import time:      4657 |      10537 |                 sqlalchemy.sql.base
import time:      2215 |       2215 |                   sqlalchemy.sql.coercions
import time:       699 |        699 |                         sqlalchemy.sql.annotation
import time:      2796 |       2796 |                             sqlalchemy.sql.type_api
import time:     12527 |      15323 |                           sqlalchemy.sql.elements
import time:       404 |        404 |                           sqlalchemy.util.topological
import time:      2979 |      18705 |                         sqlalchemy.sql.ddl
import time:       658 |        658 |                                 _compat_pickle
import time:       316 |        316 |                                 _pickle
import time:      2452 |       3425 |                               pickle
import time:       491 |        491 |                                 sqlalchemy.engine._py_processors
import time:       478 |        969 |                               sqlalchemy.engine.processors
import time:      5163 |       9556 |                             sqlalchemy.sql.sqltypes
import time:     16746 |      26301 |                           sqlalchemy.sql.selectable
import time:      7549 |      33850 |                         sqlalchemy.sql.schema
import time:      1382 |      54634 |                       sqlalchemy.sql.util
import time:      3554 |      58187 |                     sqlalchemy.sql.dml
import time:      3732 |      61919 |                   sqlalchemy.sql.crud
import time:      7674 |       7674 |                   sqlalchemy.sql.functions
import time:     11135 |      82941 |                 sqlalchemy.sql.compiler
import time:       172 |        172 |                   sqlalchemy.sql._dml_constructors
import time:       609 |        609 |                   sqlalchemy.sql._elements_constructors
import time:       410 |        410 |                   sqlalchemy.sql._selectable_constructors
import time:      1549 |       1549 |                   sqlalchemy.sql.lambdas
import time:       722 |       3461 |                 sqlalchemy.sql.expression
import time:      1422 |       1422 |                   sqlalchemy.sql.events
import time:       861 |       2283 |                 sqlalchemy.sql.naming
import time:       627 |        627 |                 sqlalchemy.sql.default_comparator
import time:     15539 |     120512 |               sqlalchemy.sql
import time:        37 |     120548 |             sqlalchemy.sql.compiler
import time:      6073 |     138507 |           sqlalchemy.engine.interfaces
import time:       612 |        612 |           sqlalchemy.engine.util
import time:      1753 |     140871 |         sqlalchemy.engine.base
