import time: self [us] | cumulative | imported package
import time:      2059 |       2523 |                 psycopg.generators
import time:      2225 |       6339 |               psycopg.copy
import time:       867 |        867 |                 psycopg._column
import time:      1015 |       1015 |                   psycopg.sql
import time:      1209 |       2223 |                 psycopg._queries
import time:       719 |        719 |                   psycopg._preparing
import time:       879 |       1598 |                 psycopg._pipeline
import time:      1906 |       6592 |               psycopg.cursor
import time:       878 |        878 |                   psycopg._conninfo_utils
import time:       231 |        231 |                   psycopg._conninfo_attempts
import time:       247 |        247 |                   psycopg._conninfo_attempts_async
import time:       530 |       1884 |                 psycopg.conninfo
import time:       925 |        925 |                 psycopg.transaction
import time:       892 |        892 |                   psycopg.cursor_async
import time:       981 |       1872 |                 psycopg.server_cursor
import time:       255 |        255 |                   psycopg._tz
import time:       351 |        605 |                 psycopg._connection_info
import time:      2163 |       7448 |               psycopg.connection
import time:       568 |        568 |               psycopg.client_cursor
import time:      1628 |       1628 |               psycopg.connection_async
import time:      1111 |       1111 |                 psycopg.types.string
import time:       518 |       1629 |               psycopg.dbapi20
import time:       224 |        224 |               psycopg.version
import time:       438 |        438 |                 psycopg._struct
import time:      1746 |       2184 |               psycopg.types.array
import time:       376 |        376 |               psycopg.types.bool
import time:      1720 |       1720 |               psycopg.types.composite
import time:      6399 |       6399 |               psycopg.types.datetime
import time:      1566 |       1566 |               psycopg.types.enum
import time:      1069 |       1069 |               psycopg.types.json
import time:      2983 |       2983 |                 psycopg.types.range
import time:      2481 |       5463 |               psycopg.types.multirange
import time:      1100 |       1100 |               psycopg.types.net
import time:       188 |        188 |               psycopg.types.none
import time:      1651 |       1651 |               psycopg.types.numeric
import time:       388 |        388 |               psycopg.types.uuid
import time:     11951 |     105509 |             psycopg
import time:      2625 |     129714 |           app.db
import time:      4795 |     175890 |         app.models.finance.ap.ap_aging_snapshot
import time:      2853 |       2853 |         app.models.finance.ap.ap_payment_allocation
import time:      3119 |       3119 |           app.models.finance.ap.goods_receipt_line
import time:      3793 |       6912 |         app.models.finance.ap.goods_receipt
import time:      3975 |       3975 |         app.models.finance.ap.payment_batch
import time:      4108 |       4108 |           app.models.finance.ap.purchase_order_line
import time:      6304 |      10412 |         app.models.finance.ap.purchase_order
import time:      5353 |       5353 |         app.models.finance.ap.supplier
import time:      1198 |       1198 |           app.models.mixins
import time:      4141 |       4141 |             app.models.finance.ap.supplier_invoice_line_tax
import time:      5515 |       9656 |           app.models.finance.ap.supplier_invoice_line
import time:      7875 |      18728 |         app.models.finance.ap.supplier_invoice
import time:      5405 |       5405 |         app.models.finance.ap.supplier_payment
import time:       486 |     230009 |       app.models.finance.ap
import time:      2518 |       2518 |         app.models.finance.ar.ar_aging_snapshot
import time:      4794 |       4794 |         app.models.finance.ar.contract
import time:      9983 |       9983 |         app.models.finance.ar.customer
import time:      5315 |       5315 |         app.models.finance.ar.customer_payment
import time:      5424 |       5424 |             app.models.finance.ar.invoice_line_tax
import time:      4296 |       9719 |           app.models.finance.ar.invoice_line
import time:      8084 |      17803 |         app.models.finance.ar.invoice
import time:      2550 |       2550 |         app.models.finance.ar.payment_allocation
import time:      3623 |       3623 |         app.models.finance.ar.payment_terms
import time:     10312 |      10312 |         app.models.finance.ar.performance_obligation
import time:     21040 |      21040 |         app.models.finance.ar.quote
import time:    106507 |     106507 |         app.models.finance.ar.revenue_recognition_event
import time:     38138 |      38138 |         app.models.finance.ar.sales_order
import time:       784 |     223361 |       app.models.finance.ar
import time:      3354 |       3354 |             app.models.finance.audit.approval_workflow
import time:      5411 |       8765 |           app.models.finance.audit.approval_request
import time:      3724 |      12489 |         app.models.finance.audit.approval_decision
import time:      3738 |       3738 |         app.models.finance.audit.audit_log
import time:       346 |      16572 |       app.models.finance.audit
import time:      7347 |       7347 |         app.models.finance.automation.custom_field
import time:     12440 |      12440 |         app.models.finance.automation.document_template
import time:      7798 |       7798 |         app.models.finance.automation.generated_document
import time:      9550 |       9550 |           app.models.finance.automation.recurring_template
import time:      4445 |      13994 |         app.models.finance.automation.recurring_log
import time:      7050 |       7050 |           app.models.finance.automation.workflow_rule
import time:      8275 |      15325 |         app.models.finance.automation.workflow_execution
import time:      3798 |       3798 |         app.models.finance.automation.workflow_rule_version
import time:       520 |      61220 |       app.models.finance.automation
import time:     13328 |      13328 |         app.models.finance.banking.bank_account
import time:     31064 |      31064 |         app.models.finance.banking.bank_reconciliation
import time:     11359 |      11359 |         app.models.finance.banking.bank_statement
import time:      5881 |       5881 |         app.models.finance.banking.payee
import time:      7965 |       7965 |         app.models.finance.banking.transaction_rule
import time:       679 |      70273 |       app.models.finance.banking
import time:      5796 |       5796 |         app.models.finance.common.attachment
import time:       411 |       6207 |       app.models.finance.common
import time:      4602 |       4602 |         app.models.finance.cons.consolidated_balance
import time:      5142 |       5142 |         app.models.finance.cons.consolidation_run
import time:      5246 |       5246 |         app.models.finance.cons.elimination_entry
import time:     12382 |      12382 |         app.models.finance.cons.intercompany_balance
import time:      5243 |       5243 |         app.models.finance.cons.legal_entity
import time:      3800 |       3800 |         app.models.finance.cons.ownership_interest
import time:       665 |      37078 |       app.models.finance.cons
import time:      4579 |       4579 |         app.models.finance.core_config.numbering_sequence
import time:      3597 |       3597 |         app.models.finance.core_config.system_configuration
import time:       387 |       8562 |       app.models.finance.core_config
import time:      2262 |       2262 |         app.models.finance.core_fx.currency
import time:      4452 |       4452 |         app.models.finance.core_fx.currency_translation_adjustment
import time:      4195 |       4195 |         app.models.finance.core_fx.exchange_rate
import time:      3025 |       3025 |         app.models.finance.core_fx.exchange_rate_type
import time:       493 |      14424 |       app.models.finance.core_fx
import time:      6590 |       6590 |             app.models.finance.core_org.organization_branding
import time:      5825 |       5825 |                   app.models.finance.gl.account_category
import time:      6605 |      12430 |                 app.models.finance.gl.account
import time:     11364 |      11364 |                 app.models.finance.gl.account_balance
import time:      3442 |       3442 |                   app.models.finance.gl.budget_line
import time:      4810 |       8251 |                 app.models.finance.gl.budget
import time:      4456 |       4456 |                   app.models.finance.gl.fiscal_year
import time:      4359 |       8814 |                 app.models.finance.gl.fiscal_period
import time:      4853 |       4853 |                   app.models.finance.gl.journal_entry_line
import time:      9381 |      14234 |                 app.models.finance.gl.journal_entry
import time:      7133 |       7133 |                 app.models.finance.gl.posted_ledger_line
import time:     12806 |      12806 |                 app.models.finance.gl.posting_batch
import time:       538 |      75566 |               app.models.finance.gl
import time:        33 |      75598 |             app.models.finance.gl.account
import time:     10452 |      10452 |                 app.models.support.attachment
import time:     10276 |      10276 |                 app.models.support.category
import time:      4877 |       4877 |                 app.models.support.comment
import time:      6396 |       6396 |                 app.models.support.team
import time:      1644 |       1644 |                           app.models.people.base
import time:      7389 |       9032 |                         app.models.people.assets.assignment
import time:       292 |       9324 |                       app.models.people.assets
import time:     10075 |      10075 |                         app.models.people.attendance.attendance
import time:      6067 |       6067 |                         app.models.people.attendance.attendance_request
import time:      5200 |       5200 |                         app.models.people.attendance.shift_assignment
import time:      5960 |       5960 |                         app.models.people.attendance.shift_type
import time:       558 |      27859 |                       app.models.people.attendance
import time:     15421 |      15421 |                         app.models.people.discipline.case
import time:     16345 |      16345 |                         app.models.people.discipline.case_action
import time:     10310 |      10310 |                         app.models.people.discipline.case_document
import time:      3416 |       3416 |                         app.models.people.discipline.case_response
import time:      3035 |       3035 |                         app.models.people.discipline.case_witness
import time:       672 |      49197 |                       app.models.people.discipline
import time:     11159 |      11159 |                           app.models.expense.cash_advance
import time:     18181 |      18181 |                           app.models.expense.corporate_card
import time:     42377 |      42377 |                           app.models.expense.expense_claim
import time:      4475 |       4475 |                           app.models.expense.expense_claim_action
import time:     31962 |      31962 |                           app.models.expense.limit_rule
import time:      4308 |     112461 |                         app.models.expense
import time:       311 |     112771 |                       app.models.people.exp
import time:     10648 |      10648 |                         app.models.people.hr.checklist_template
import time:      7784 |       7784 |                         app.models.people.hr.department
import time:      5794 |       5794 |                         app.models.people.hr.designation
import time:     14164 |      14164 |                         app.models.people.hr.employee
import time:     35192 |      35192 |                         app.models.people.hr.employee_extended
import time:     12164 |      12164 |                         app.models.people.hr.employee_grade
import time:      4205 |       4205 |                         app.models.people.hr.employment_type
import time:     15752 |      15752 |                         app.models.people.hr.handbook
import time:     32778 |      32778 |                         app.models.people.hr.job_description
import time:     38360 |      38360 |                         app.models.people.hr.lifecycle
import time:       908 |     177743 |                       app.models.people.hr
import time:    146533 |     146533 |                         app.models.people.leave.holiday_list
import time:      6734 |       6734 |                         app.models.people.leave.leave_allocation
import time:      7191 |       7191 |                         app.models.people.leave.leave_application
import time:      6811 |       6811 |                         app.models.people.leave.leave_type
import time:       565 |     167832 |                       app.models.people.leave
import time:      5457 |       5457 |                         app.models.people.payroll.employee_tax_profile
import time:     20272 |      20272 |                           app.models.people.payroll.salary_structure
import time:      9995 |      30267 |                         app.models.people.payroll.payroll_entry
import time:      8842 |       8842 |                         app.models.people.payroll.salary_assignment
import time:      9179 |       9179 |                         app.models.people.payroll.salary_component
import time:     24486 |      24486 |                         app.models.people.payroll.salary_slip
import time:      7858 |       7858 |                         app.models.people.payroll.tax_band
import time:       676 |      86762 |                       app.models.people.payroll
import time:     23887 |      23887 |                         app.models.people.perf.appraisal
import time:      7495 |       7495 |                         app.models.people.perf.appraisal_cycle
import time:      8512 |       8512 |                         app.models.people.perf.appraisal_template
import time:      6806 |       6806 |                         app.models.people.perf.kpi
import time:      4632 |       4632 |                         app.models.people.perf.kra
import time:     10200 |      10200 |                         app.models.people.perf.scorecard
import time:       654 |      62183 |                       app.models.people.perf
import time:      7879 |       7879 |                         app.models.people.recruit.interview
import time:     11365 |      11365 |                         app.models.people.recruit.job_applicant
import time:     10333 |      10333 |                         app.models.people.recruit.job_offer
import time:      9712 |       9712 |                         app.models.people.recruit.job_opening
import time:       627 |      39914 |                       app.models.people.recruit
import time:     12252 |      12252 |                         app.models.people.training.training_event
import time:      5512 |       5512 |                         app.models.people.training.training_program
import time:       461 |      18224 |                       app.models.people.training
import time:       527 |     752331 |                     app.models.people
import time:        37 |     752367 |                   app.models.people.base
import time:      8849 |     761216 |                 app.models.support.ticket
import time:       570 |     793784 |               app.models.support
import time:        55 |     793839 |             app.models.support.category
import time:     11638 |     887663 |           app.models.finance.core_org.organization
import time:      4744 |     892406 |         app.models.finance.core_org.business_unit
import time:      3402 |       3402 |         app.models.finance.core_org.cost_center
import time:      8240 |       8240 |         app.models.finance.core_org.location
import time:      7717 |       7717 |         app.models.finance.core_org.project
import time:      4100 |       4100 |         app.models.finance.core_org.reporting_segment
import time:       564 |     916426 |       app.models.finance.core_org
import time:      8577 |       8577 |         app.models.finance.exp.expense_entry
import time:       422 |       8998 |       app.models.finance.exp
import time:      1162 |       1162 |           app.models.finance.ipsas.enums
import time:      9247 |      10409 |         app.models.finance.ipsas.appropriation
import time:      6681 |       6681 |         app.models.finance.ipsas.coa_segment
import time:     10240 |      10240 |         app.models.finance.ipsas.commitment
import time:      5680 |       5680 |         app.models.finance.ipsas.fund
import time:      7249 |       7249 |         app.models.finance.ipsas.virement
import time:       674 |      40931 |       app.models.finance.ipsas
import time:      6122 |       6122 |         app.models.finance.lease.lease_asset
import time:     12220 |      12220 |         app.models.finance.lease.lease_contract
import time:      4012 |       4012 |         app.models.finance.lease.lease_liability
import time:      5514 |       5514 |         app.models.finance.lease.lease_modification
import time:      5826 |       5826 |         app.models.finance.lease.lease_payment_schedule
import time:       637 |      34329 |       app.models.finance.lease
import time:      8252 |       8252 |         app.models.finance.payments.payment_intent
import time:      4723 |       4723 |         app.models.finance.payments.payment_webhook
import time:     11438 |      11438 |         app.models.finance.payments.transfer_batch
import time:       505 |      24917 |       app.models.finance.payments
import time:      5824 |       5824 |           app.models.finance.platform.event_outbox
import time:      4499 |      10323 |         app.models.finance.platform.event_handler_checkpoint
import time:      3337 |       3337 |         app.models.finance.platform.idempotency_record
import time:      7909 |       7909 |         app.models.finance.platform.saga_execution
import time:       537 |      22105 |       app.models.finance.platform
import time:      6564 |       6564 |         app.models.finance.remita.rrr
import time:       334 |       6898 |       app.models.finance.remita
import time:      6879 |       6879 |         app.models.finance.rpt.disclosure_checklist
import time:      9116 |       9116 |         app.models.finance.rpt.financial_statement_line
import time:      7918 |       7918 |         app.models.finance.rpt.report_definition
import time:      7714 |       7714 |         app.models.finance.rpt.report_instance
import time:      5027 |       5027 |         app.models.finance.rpt.report_schedule
import time:       593 |      37244 |       app.models.finance.rpt
import time:      6009 |       6009 |         app.models.finance.tax.deferred_tax_basis
import time:      5545 |       5545 |         app.models.finance.tax.deferred_tax_movement
import time:      5299 |       5299 |         app.models.finance.tax.tax_code
import time:      5569 |       5569 |         app.models.finance.tax.tax_jurisdiction
import time:      5435 |       5435 |         app.models.finance.tax.tax_period
import time:      7872 |       7872 |         app.models.finance.tax.tax_reconciliation
import time:      5908 |       5908 |         app.models.finance.tax.tax_return
import time:      4866 |       4866 |         app.models.finance.tax.tax_transaction
import time:       781 |      47280 |       app.models.finance.tax
import time:      8727 |       8727 |         app.models.fixed_assets.asset
import time:      4901 |       4901 |         app.models.fixed_assets.asset_category
import time:      2759 |       2759 |         app.models.fixed_assets.asset_component
import time:      3874 |       3874 |         app.models.fixed_assets.asset_disposal
import time:      4856 |       4856 |         app.models.fixed_assets.asset_impairment
import time:      4164 |       4164 |         app.models.fixed_assets.asset_revaluation
import time:      4754 |       4754 |         app.models.fixed_assets.cash_generating_unit
import time:      4015 |       4015 |         app.models.fixed_assets.depreciation_run
import time:      3605 |       3605 |         app.models.fixed_assets.depreciation_schedule
import time:       629 |      42281 |       app.models.fixed_assets
import time:      7556 |       7556 |         app.models.inventory.bom
import time:      4716 |       4716 |         app.models.inventory.inventory_count
import time:      3677 |       3677 |         app.models.inventory.inventory_count_line
import time:      4468 |       4468 |         app.models.inventory.inventory_lot
import time:      5378 |       5378 |         app.models.inventory.inventory_transaction
import time:      4032 |       4032 |         app.models.inventory.inventory_valuation
import time:      8898 |       8898 |         app.models.inventory.item
import time:      3681 |       3681 |         app.models.inventory.item_category
import time:      9689 |       9689 |         app.models.inventory.material_request
import time:      6879 |       6879 |         app.models.inventory.price_list
import time:      3239 |       3239 |         app.models.inventory.warehouse
import time:      3170 |       3170 |         app.models.inventory.warehouse_location
import time:       842 |      66219 |       app.models.inventory
import time:       816 |    1916142 |     app.models.finance
import time:      5507 |       5507 |       app.models.pm.comment
import time:      4672 |       4672 |       app.models.pm.milestone
import time:      2397 |       2397 |       app.models.pm.project_template
import time:      4865 |       4865 |         app.models.pm.task_dependency
import time:    165350 |     170215 |       app.models.pm.project_template_task
import time:      4157 |       4157 |       app.models.pm.resource_allocation
import time:      6783 |       6783 |       app.models.pm.task
import time:      9728 |       9728 |       app.models.pm.time_entry
import time:       493 |     203949 |     app.models.pm
import time:       503 |        503 |         app.models.procurement.base
import time:      1676 |       1676 |         app.models.procurement.enums
import time:      4654 |       6833 |       app.models.procurement.bid_evaluation
import time:      2578 |       2578 |       app.models.procurement.bid_evaluation_score
import time:      5820 |       5820 |       app.models.procurement.procurement_contract
import time:      6007 |       6007 |       app.models.procurement.procurement_plan
import time:      3358 |       3358 |       app.models.procurement.procurement_plan_item
import time:      5671 |       5671 |       app.models.procurement.purchase_requisition
import time:      4558 |       4558 |       app.models.procurement.purchase_requisition_line
import time:      8633 |       8633 |       app.models.procurement.quotation_response
import time:      4602 |       4602 |       app.models.procurement.quotation_response_line
import time:     10742 |      10742 |       app.models.procurement.rfq
import time:      5483 |       5483 |       app.models.procurement.rfq_invitation
import time:      4488 |       4488 |       app.models.procurement.vendor_prequalification
import time:      1944 |      70708 |     app.models.procurement
import time:      2730 |       2730 |       sqlalchemy.ext.mutable
import time:      7189 |       9919 |     app.models.audit
import time:       345 |        345 |             sqlalchemy.dialects.sqlite.json
import time:      4091 |       4435 |           sqlalchemy.dialects.sqlite.base
import time:       835 |        835 |           sqlalchemy.dialects.sqlite.pysqlite
import time:       679 |       5949 |         sqlalchemy.dialects.sqlite.aiosqlite
import time:       193 |        193 |         sqlalchemy.dialects.sqlite.pysqlcipher
import time:      1382 |       1382 |         sqlalchemy.dialects.sqlite.dml
import time:       456 |       7978 |       sqlalchemy.dialects.sqlite
import time:     22522 |      30500 |     app.models.auth
import time:      4982 |       4982 |     app.models.batch_operation
import time:     10088 |      10088 |     app.models.domain_settings
import time:      5580 |       5580 |     app.models.notification
import time:      9283 |       9283 |     app.models.person
import time:     10902 |      10902 |     app.models.rbac
import time:      5756 |       5756 |     app.models.scheduler
import time:      3880 |       3880 |       app.models.sync.dotmac_crm_sync
import time:      4733 |       4733 |       app.models.sync.integration_config
import time:     19166 |      19166 |       app.models.sync.staging
import time:      3451 |       3451 |       app.models.sync.sync_entity
import time:      4343 |       4343 |       app.models.sync.sync_history
import time:       490 |      36060 |     app.models.sync
import time:      4535 |       4535 |     app.models.workflow_task
import time:       807 |    2319202 |   app.models
import time:       162 |        162 |     app.api
import time:       138 |        138 |         app.services
import time:       216 |        216 |         app.rls
import time:       232 |        232 |             hmac
import time:       175 |        407 |           secrets
import time:       658 |        658 |                       redis.exceptions
import time:       156 |        156 |                         redis.compat
import time:       897 |       1053 |                       redis.typing
import time:       216 |        216 |                       redis._parsers.encoders
import time:        83 |         83 |                           hiredis
import time:       180 |        180 |                             cryptography.__about__
import time:       176 |        356 |                           cryptography
import time:       244 |        681 |                         redis.utils
import time:       290 |        971 |                       redis._parsers.socket
import time:       500 |       3396 |                     redis._parsers.base
import time:       344 |        344 |                     redis._parsers.commands
import time:       415 |        415 |                     redis._parsers.hiredis
import time:       228 |        228 |                     redis._parsers.resp2
import time:       340 |        340 |                     redis._parsers.resp3
import time:       217 |       4938 |                   redis._parsers
import time:       660 |       5598 |                 redis._parsers.helpers
import time:       260 |        260 |                   redis.asyncio.retry
import time:       258 |        258 |                   redis.backoff
import time:       229 |        229 |                     redis.credentials
import time:       151 |        151 |                     redis.retry
import time:      3421 |       3800 |                   redis.connection
import time:      2340 |       6656 |                 redis.asyncio.connection
import time:       482 |        482 |                 redis.asyncio.lock
import time:       140 |        140 |                       redis.crc
import time:       243 |        243 |                         redis.commands.helpers
import time:      5134 |       5376 |                       redis.commands.core
import time:       284 |        284 |                       redis.commands.redismodules
import time:      1233 |       7032 |                     redis.commands.cluster
import time:       195 |        195 |                     redis.commands.sentinel
import time:       208 |       7434 |                   redis.commands
import time:       352 |        352 |                   redis.lock
import time:      2516 |      10300 |                 redis.client
import time:      2988 |      26023 |               redis.asyncio.client
import time:      1584 |       1584 |                 redis.cluster
import time:      2558 |       4141 |               redis.asyncio.cluster
import time:       704 |        704 |               redis.asyncio.sentinel
import time:       143 |        143 |               redis.asyncio.utils
import time:       283 |      31291 |             redis.asyncio
import time:       312 |        312 |             redis.sentinel
import time:      1154 |      32756 |           redis
import time:       442 |        442 |             app.schemas
import time:     48072 |      48513 |           app.schemas.auth
import time:     20461 |      20461 |               app.schemas.settings
import time:      1847 |       1847 |               app.services.common
import time:       372 |        372 |               app.services.response
import time:       296 |        296 |                 app.services.cache
import time:       395 |        690 |               app.services.settings_cache
import time:       718 |      24086 |             app.services.domain_settings
import time:      2425 |      26511 |           app.services.settings_spec
import time:       854 |     109038 |         app.services.auth
import time:       178 |        178 |                   pyotp.utils
import time:       175 |        175 |                   pyotp.otp
import time:       557 |        908 |                 pyotp.totp
import time:       175 |       1083 |               pyotp.contrib.steam
import time:       195 |       1278 |             pyotp.contrib
import time:       106 |        106 |             pyotp.compat
import time:       142 |        142 |             pyotp.hotp
import time:       337 |       1861 |           pyotp
import time:       525 |        525 |             cryptography.utils
import time:       174 |        174 |                   cryptography.hazmat
import time:       195 |        368 |                 cryptography.hazmat.bindings
import time:       720 |        720 |                 _cffi_backend
import time:      5195 |       6282 |               cryptography.hazmat.bindings._rust
import time:       329 |       6610 |             cryptography.exceptions
import time:       296 |        296 |             cryptography.hazmat.primitives
import time:       704 |        704 |             cryptography.hazmat.primitives.hashes
import time:       436 |        436 |             cryptography.hazmat.primitives.padding
import time:       158 |        158 |               cryptography.hazmat.primitives._cipheralgorithm
import time:       463 |        463 |                   cryptography.hazmat.primitives.ciphers.algorithms
import time:       452 |        914 |                 cryptography.hazmat.primitives.ciphers.modes
import time:       734 |       1648 |               cryptography.hazmat.primitives.ciphers.base
import time:       171 |       1976 |             cryptography.hazmat.primitives.ciphers
import time:       141 |        141 |             cryptography.hazmat.primitives.hmac
import time:       437 |      11122 |           cryptography.fernet
import time:       473 |        473 |             jose.exceptions
import time:       258 |        730 |           jose
import time:       155 |        155 |                       cryptography.hazmat.backends
import time:       110 |        110 |                         cryptography.hazmat.bindings.openssl
import time:       213 |        213 |                         cryptography.hazmat.bindings.openssl._conditional
import time:      1784 |       2105 |                       cryptography.hazmat.bindings.openssl.binding
import time:      1180 |       1180 |                         cryptography.hazmat.primitives._serialization
import time:       275 |        275 |                         cryptography.hazmat.primitives.serialization.base
import time:       176 |        176 |                           cryptography.hazmat.primitives.asymmetric
import time:       141 |        141 |                             cryptography.hazmat.primitives.asymmetric.utils
import time:       406 |        546 |                           cryptography.hazmat.primitives.asymmetric.dsa
import time:       571 |        571 |                             cryptography.hazmat._oid
import time:      1070 |       1641 |                           cryptography.hazmat.primitives.asymmetric.ec
import time:       342 |        342 |                           cryptography.hazmat.primitives.asymmetric.ed25519
import time:       356 |        356 |                             cryptography.hazmat.primitives._asymmetric
import time:       300 |        300 |                             cryptography.hazmat.primitives.asymmetric.rsa
import time:       281 |        936 |                           cryptography.hazmat.primitives.asymmetric.padding
import time:       520 |        520 |                             bcrypt._bcrypt
import time:       251 |        770 |                           bcrypt
import time:      2471 |       6880 |                         cryptography.hazmat.primitives.serialization.ssh
import time:       270 |       8604 |                       cryptography.hazmat.primitives.serialization
import time:      1299 |       1299 |                               cryptography.x509.certificate_transparency
import time:       198 |        198 |                                     cryptography.x509.oid
import time:     11227 |      11424 |                                   cryptography.x509.name
import time:       684 |      12107 |                                 cryptography.x509.general_name
import time:       410 |      12517 |                               cryptography.x509.verification
import time:       386 |        386 |                                 cryptography.hazmat.primitives.asymmetric.ed448
import time:       309 |        309 |                                 cryptography.hazmat.primitives.asymmetric.x448
import time:       308 |        308 |                                 cryptography.hazmat.primitives.asymmetric.x25519
import time:       257 |        257 |                                   cryptography.hazmat.primitives.asymmetric.dh
import time:       612 |        868 |                                 cryptography.hazmat.primitives.asymmetric.types
import time:       130 |        130 |                                   cryptography.hazmat.primitives.constant_time
import time:      2473 |       2602 |                                 cryptography.x509.extensions
import time:      1497 |       5969 |                               cryptography.x509.base
import time:       427 |      20211 |                             cryptography.x509
import time:       226 |        226 |                             cryptography.hazmat.backends.openssl.aead
import time:       265 |        265 |                             cryptography.hazmat.backends.openssl.ciphers
import time:       277 |        277 |                             cryptography.hazmat.primitives.serialization.pkcs12
import time:      1579 |      22556 |                           cryptography.hazmat.backends.openssl.backend
import time:       223 |      22778 |                         cryptography.hazmat.backends.openssl
import time:       318 |      23095 |                       cryptography.hazmat.primitives.ciphers.aead
import time:       252 |        252 |                       cryptography.hazmat.primitives.keywrap
import time:       280 |        280 |                       jose.constants
import time:       272 |        272 |                       jose.utils
import time:       267 |        267 |                       jose.backends.base
import time:      1030 |      36056 |                     jose.backends.cryptography_backend
import time:       218 |      36274 |                   jose.backends
import time:        39 |      36312 |                 jose.backends.base
import time:       217 |      36529 |               jose.jwk
import time:       290 |      36819 |             jose.jws
import time:       379 |      37198 |           jose.jwt
import time:       270 |        270 |             passlib
import time:       644 |        644 |             passlib.exc
import time:       457 |        457 |                     passlib.utils.compat
import time:       396 |        396 |                     stringprep
import time:      1914 |       1914 |                       passlib.utils.decor
import time:       623 |       2537 |                     passlib.utils.binary
import time:       555 |        555 |                       _crypt
import time:      5820 |       6375 |                     crypt
import time:       979 |      10742 |                   passlib.utils
import time:        36 |      10778 |                 passlib.utils.decor
import time:       388 |      11165 |               passlib.ifc
import time:       830 |      11995 |             passlib.registry
import time:      4917 |       4917 |             passlib.utils.handlers
import time:      1934 |       1934 |             configparser
import time:      1436 |      21195 |           passlib.context
import time:     34717 |      34717 |           app.schemas.auth_flow
import time:       171 |        171 |               httpx.__version__
import time:       613 |        613 |                     httpx._exceptions
import time:      2830 |       2830 |                       http.cookiejar
import time:      1592 |       1592 |                           httpx._types
import time:       548 |        548 |                           httpx._utils
import time:       328 |       2468 |                         httpx._multipart
import time:      1554 |       4021 |                       httpx._content
import time:       110 |        110 |                           brotlicffi
import time:       357 |        357 |                             _brotli
import time:       341 |        698 |                           brotli
import time:       221 |       1028 |                         httpx._compat
import time:      1245 |       2273 |                       httpx._decoders
import time:      1274 |       1274 |                       httpx._status_codes
import time:      1508 |       1508 |                         httpx._urlparse
import time:       425 |       1932 |                       httpx._urls
import time:      1077 |      13405 |                     httpx._models
import time:       570 |      14586 |                   httpx._auth
import time:       184 |        184 |                       certifi.core
import time:       193 |        377 |                     certifi
import time:       119 |        119 |                         importlib.resources._itertools
import time:       329 |        448 |                       importlib.resources.readers
import time:       124 |        571 |                     importlib.readers
import time:       595 |       1542 |                   httpx._config
import time:       130 |        130 |                     httpx._transports
import time:       358 |        358 |                     httpx._transports.base
import time:       393 |        880 |                   httpx._transports.asgi
import time:       558 |        558 |                         httpcore._models
import time:       109 |        109 |                                 httpcore._backends
import time:       325 |        325 |                                 httpcore._exceptions
import time:       115 |        115 |                                 httpcore._utils
import time:       331 |        331 |                                 httpcore._backends.base
import time:       341 |       1218 |                               httpcore._backends.sync
import time:       112 |        112 |                               httpcore._ssl
import time:        85 |         85 |                                 trio
import time:       359 |        444 |                               httpcore._synchronization
import time:       259 |        259 |                               httpcore._trace
import time:       173 |        173 |                                       h11._abnf
import time:       339 |        339 |                                         h11._util
import time:       732 |       1071 |                                       h11._headers
import time:      4030 |       5273 |                                     h11._events
import time:       279 |        279 |                                       h11._receivebuffer
import time:       632 |        632 |                                       h11._state
import time:      1239 |       2149 |                                     h11._readers
import time:       576 |        576 |                                     h11._writers
import time:      1221 |       9218 |                                   h11._connection
import time:       393 |        393 |                                   h11._version
import time:       194 |       9804 |                                 h11
import time:       264 |        264 |                                 httpcore._sync.interfaces
import time:       593 |      10659 |                               httpcore._sync.http11
import time:       354 |      13045 |                             httpcore._sync.connection
import time:       461 |        461 |                             httpcore._sync.connection_pool
import time:       434 |        434 |                             httpcore._sync.http_proxy
import time:        89 |         89 |                                 h2
import time:        32 |        121 |                               h2.config
import time:       412 |        532 |                             httpcore._sync.http2
import time:        97 |         97 |                               socksio
import time:       215 |        311 |                             httpcore._sync.socks_proxy
import time:       249 |      15031 |                           httpcore._sync
import time:        36 |      15066 |                         httpcore._sync.connection_pool
import time:       311 |      15934 |                       httpcore._api
import time:       198 |        198 |                           httpcore._backends.auto
import time:       292 |        292 |                             httpcore._async.interfaces
import time:       758 |       1049 |                           httpcore._async.http11
import time:       412 |       1658 |                         httpcore._async.connection
import time:       404 |        404 |                         httpcore._async.connection_pool
import time:       400 |        400 |                         httpcore._async.http_proxy
import time:       127 |        127 |                             h2
import time:        38 |        164 |                           h2.config
import time:       402 |        566 |                         httpcore._async.http2
import time:        98 |         98 |                           socksio
import time:       260 |        358 |                         httpcore._async.socks_proxy
import time:       356 |       3740 |                       httpcore._async
import time:       273 |        273 |                       httpcore._backends.mock
import time:       328 |        328 |                       httpcore._backends.anyio
import time:       109 |        109 |                         trio
import time:       240 |        348 |                       httpcore._backends.trio
import time:       349 |      20970 |                     httpcore
import time:       511 |      21481 |                   httpx._transports.default
import time:       347 |        347 |                   httpx._transports.wsgi
import time:      1393 |      40226 |                 httpx._client
import time:       220 |      40446 |               httpx._api
import time:       360 |        360 |               httpx._transports.mock
import time:       566 |        566 |                       click._compat
import time:       212 |        212 |                         click.globals
import time:       374 |        374 |                         click.utils
